run_id,behaviour,N_a,sigma,herd_idx,M,rep,min_sep,herd_seed,pso_seed,V1,V2,V3,minV,per_animal_min_mean,per_animal_min_p10,Omega,Delta,Lambda_dist,Lambda_idle,convergence_iter,poses,status,t_solve
grazing_N100_s10_h1_M7_r2_ms2.5,grazing,100,10.0,1,7,2,2.5,3143501092706740449,5968084733504922180,1.0,0.9975,0.98,0.98,0.9775,1.0,0.2460454276733005,0.2460454276733005,1.0,1.0,100,"[[-134.56114196777344, 30.0, -82.83589935302734, 360.0, -56.111232609537915], [59.998226165771484, 45.0, -62.92209243774414, 297.21155427677417, -88.80707502054918], [50.29243850708008, 60.0, -27.160423278808594, 200.4934607460579, -48.076870297428265], [-8.1193208694458, 75.0, 6.3208417892456055, 205.03911025882397, -89.99], [13.2798490524292, 90.0, -0.0774439349770546, 360.0, -89.60098505274381], [-49.746559143066406, 105.0, -1.0547198057174683, 360.0, -61.78519348053108], [-76.05542755126953, 120.0, 111.50064849853516, 132.43076512142156, -89.00700672605294]]",ok,68.63030505180359
grazing_N100_s10_h1_M7_r3_ms2.5,grazing,100,10.0,1,7,3,2.5,3143501092706740449,7082736133027265952,1.0,0.998125,0.9975,0.9975,0.995625,1.0,0.3486950983241833,0.3486950983241833,1.0,1.0,100,"[[-28.438671112060547, 30.0, 79.23475646972656, 68.06210880233603, -21.14028310571794], [64.39957427978516, 45.0, 24.151636123657227, 159.62161023077527, -31.66810629352661], [-13.611058235168457, 60.0, -43.841552734375, 295.3504957490254, -50.2879110997935], [3.7141401767730713, 75.0, -0.9771456718444824, 126.75358195028024, -80.21428335080229], [-6.335590839385986, 90.0, 25.336931228637695, 88.52807150266223, -81.3440403436273], [39.40080261230469, 105.0, -85.18701171875, 254.6342957572871, -83.89025775620524], [86.30476379394531, 120.0, -95.57823944091797, 339.1161676645067, -69.08471975397734]]",ok,74.34422278404236
grazing_N100_s10_h1_M7_r4_ms2.5,grazing,100,10.0,1,7,4,2.5,3143501092706740449,6721907936816863723,1.0,0.9875,1.0,0.9875,0.9875,1.0,0.3241387974919824,0.3242627678362907,0.999617685542082,1.0,100,"[[-42.91936111450195, 30.0, -59.04116439819336, 312.32212957252483, -21.41126625904456], [-21.54752540588379, 45.0, -59.096168518066406, 277.22760006458816, -37.934543555571345], [-19.771015167236328, 60.0, 53.44371795654297, 76.10923828667094, -46.93405024437764], [36.20168685913086, 75.0, -19.864803314208984, 202.571318163025, -67.83459366637679], [-11.185166358947754, 90.0, 6.0366597175598145, 320.000990932412, -83.60770747749768], [77.44966888427734, 105.0, 92.9470443725586, 44.09824227330119, -81.97846619985609], [4.421606063842773, 120.0, 10.382572174072266, 243.59473400144503, -64.91917286862287]]",ok,72.68061375617981
grazing_N100_s10_h1_M8_r0_ms2.5,grazing,100,10.0,1,8,0,2.5,3143501092706740449,6202740473166482761,1.0,1.0,0.99875,0.99875,0.99875,1.0,0.3174679828648582,0.3174679828648582,1.0,1.0,100,"[[3.722034215927124, 30.0, 80.40702056884766, 95.70462955182559, -20.75320694851814], [-63.40937042236328, 45.0, -24.302927017211914, 337.2661439634176, -32.490897201273846], [-123.78189849853516, 60.0, -28.902118682861328, 360.0, -42.39846385849335], [-6.5778584480285645, 75.0, 1.1099663972854614, 349.07638292679553, -89.94278754631382], [8.307311058044434, 90.0, -0.833968460559845, 359.2016401649621, -86.70113615032633], [-74.82618713378906, 105.0, 80.2080078125, 360.0, -64.95174978927443], [37.118499755859375, 120.0, -33.314544677734375, 217.50664358386604, -65.338854467179], [37.76245880126953, 135.0, 4.444126129150391, 143.05898539092587, -74.63685795802473]]",ok,92.74955415725708
grazing_N100_s10_h1_M8_r1_ms2.5,grazing,100,10.0,1,8,1,2.5,3143501092706740449,1006558973460400208,1.0,0.998125,0.98625,0.98625,0.984375,1.0,0.2996219110377019,0.2996219110377019,1.0,1.0,100,"[[-15.270286560058594, 30.0, -75.59014129638672, 279.5798819154948, -21.12703217874539], [16.96133041381836, 45.0, -133.92881774902344, 259.1442907269758, -19.991653285454905], [-53.41738510131836, 60.0, -7.833215236663818, 360.0, -50.54154037986198], [1.1667261123657227, 75.0, 7.998053073883057, 108.0247246464376, -89.99], [40.104373931884766, 90.0, 42.210235595703125, 134.77168689146532, -55.79644211082349], [11.42567253112793, 105.0, -13.739602088928223, 58.087344950583635, -89.99], [-45.26030731201172, 120.0, -134.9993133544922, 238.29305820444986, -68.24300809461486], [-7.224453926086426, 135.0, -2.88102388381958, 55.824449645542764, -39.21248179097473]]",ok,88.76605105400085
grazing_N100_s10_h1_M8_r2_ms2.5,grazing,100,10.0,1,8,2,2.5,3143501092706740449,3044213485804156194,1.0,0.996875,0.99875,0.996875,0.995625,1.0,0.3054411324965201,0.3054411324965201,1.0,1.0,100,"[[70.72697448730469, 30.0, -26.8122615814209, 197.4990098295225, -21.834119625347988], [73.04876708984375, 45.0, -11.621115684509277, 74.80085654445162, -72.56443052105742], [-12.21005630493164, 60.0, -27.32418441772461, 286.1324248093127, -58.26520991942406], [-36.65288162231445, 75.0, -11.00959300994873, 0.0, -61.68609533352476], [-15.861438751220703, 90.0, 53.8936767578125, 77.02515393757845, -57.72076083697978], [-14.425532341003418, 105.0, -19.952415466308594, 257.67525282793326, -82.33512879046779], [0.41828015446662903, 120.0, -13.255422592163086, 316.5401955886827, -53.25696895670401], [51.514617919921875, 135.0, 22.447124481201172, 109.14378080125935, -39.036867478902195]]",ok,83.45121765136719
grazing_N100_s10_h1_M8_r3_ms2.5,grazing,100,10.0,1,8,3,2.5,3143501092706740449,6725254307538711624,1.0,0.93875,0.955,0.93875,0.89375,0.6875,0.2752651380419444,0.2752651380419444,1.0,1.0,98,"[[-55.34638595581055, 30.0, 63.756710052490234, 348.99991300035697, -55.65466126916428], [40.8187141418457, 45.0, 54.132598876953125, 127.12938798161842, -33.018470243675615], [-29.089387893676758, 60.0, -33.610137939453125, 305.81342634891917, -50.80754791317542], [-134.83970642089844, 75.0, -128.156494140625, 340.6605773815525, -40.023035761015755], [-1.5158698558807373, 90.0, -11.527477264404297, 288.0044138457283, -89.99], [-55.86424255371094, 105.0, -134.9993133544922, 360.0, -82.080891915063], [-121.06983184814453, 120.0, 32.76423645019531, 323.1083233678678, -88.41302725882014], [-134.9993133544922, 135.0, -134.9993133544922, 185.80545380351379, -89.52247204599671]]",ok,89.46597146987915
grazing_N100_s10_h1_M8_r4_ms2.5,grazing,100,10.0,1,8,4,2.5,3143501092706740449,4442975895212379485,1.0,0.999375,1.0,0.999375,0.999375,1.0,0.299011926937977,0.299011926937977,1.0,1.0,100,"[[-81.2597885131836, 30.0, -3.149155855178833, 0.0, -20.410655528342172], [-87.4968032836914, 45.0, -58.576019287109375, 359.05255043812315, -14.117830956949469], [38.002586364746094, 60.0, -21.531152725219727, 209.68831935384384, -49.61303085298104], [11.441164016723633, 75.0, -11.133295059204102, 225.58898475998595, -85.899941832059], [-73.10767364501953, 90.0, -57.45771408081055, 0.0, -66.90795940868277], [18.52683448791504, 105.0, 38.5322151184082, 107.05188949900682, -64.40860464074113], [101.92949676513672, 120.0, 9.794560432434082, 360.0, -86.06756217165609], [1.2500680685043335, 135.0, -133.6903839111328, 346.66032134342703, -51.97839051094499]]",ok,89.82330989837646
grazing_N100_s10_h1_M9_r0_ms2.5,grazing,100,10.0,1,9,0,2.5,3143501092706740449,2199293472359570449,1.0,0.78,0.88375,0.78,0.66375,0.0,0.2786153187909942,0.2786191862396682,0.999986119230602,1.0,100,"[[-11.845138549804688, 30.0, 78.72415161132812, 83.52643783243047, -21.142014496911344], [-81.1450424194336, 45.0, 24.729801177978516, 131.77822088069888, -89.9139425649377], [-2.879035711288452, 60.0, 8.080535888671875, 283.4331041196247, -89.43799045661007], [-2.09800124168396, 75.0, -12.193774223327637, 288.98644659173203, -88.74574706455631], [-42.665584564208984, 90.0, -33.526180267333984, 319.1164661087308, -56.78757553008446], [15.522052764892578, 105.0, 4.350995063781738, 359.90679409511785, -88.34307274926893], [49.86153793334961, 120.0, -56.54521179199219, 359.98828933307, -89.96690821452482], [-17.22773551940918, 135.0, 3.0697343349456787, 359.7044296739199, -75.77555301002876], [-61.92410659790039, 150.0, -102.71749114990234, 360.0, -67.27112701542407]]",ok,91.11554193496704
grazing_N100_s10_h1_M9_r1_ms2.5,grazing,100,10.0,1,9,1,2.5,3143501092706740449,700233447819811352,1.0,0.999375,0.996875,0.996875,0.99625,1.0,0.3484006928384395,0.3484006928384395,1.0,1.0,100,"[[28.048067092895508, 30.0, 74.04032897949219, 111.87670748503633, -21.111017954470004], [64.65380096435547, 45.0, -24.741371154785156, 200.84188446041492, -32.86840342425239], [-47.06626892089844, 60.0, -0.7148900628089905, 358.3872152212644, -47.20944899262983], [-6.395216941833496, 75.0, 9.651434898376465, 357.12207943006814, -89.99], [-11.02104663848877, 90.0, -21.18239402770996, 303.79771099419554, -82.59932398173123], [44.47199249267578, 105.0, 134.9993133544922, 229.21316003975483, -82.08098749953572], [126.88455200195312, 120.0, 50.78639221191406, 241.37699319704564, -89.82520068078273], [-73.31732177734375, 135.0, -71.93677520751953, 278.73667869244656, -21.555540056112136], [-128.10179138183594, 150.0, 82.56470489501953, 45.26895669872829, -80.20170913759999]]",ok,89.61867833137512
